DF,FW,GK,MF,MFFW,Pos,Gls,Ast,CrdY,Fls,Fld,Off,Crs,Int,TklW
1.0,0.0,0.0,0.0,0.0,DF,0.04,0.08,0.16,0.78,0.2,0.04,0.2,0.73,0.82
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.22,1.74,1.09,0.0,1.74,0.0,0.87
0.0,0.0,1.0,0.0,0.0,GK,0.0,0.0,0.06,0.0,0.12,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,MF,0.16,0.08,0.25,1.64,2.54,0.08,1.07,0.82,0.74
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,0.48,4.29,1.9,0.0,3.81,0.48,0.95
0.0,0.0,0.0,1.0,0.0,MF,0.13,0.06,0.26,1.95,1.36,0.06,2.92,1.23,0.84
1.0,0.0,0.0,0.0,0.0,DF,0.07,0.0,0.14,1.37,0.48,0.14,0.82,1.1,0.62
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.08,0.0,1.04,0.24,0.0,0.0,0.72,1.68
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.26,1.27,0.61,0.04,0.31,1.01,0.7
0.0,0.0,1.0,0.0,0.0,GK,0.0,0.0,0.11,0.0,0.11,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,MF,0.15,0.12,0.39,2.59,1.58,0.31,1.97,0.73,1.08
0.0,0.0,0.0,1.0,0.0,MF,0.09,0.0,0.09,1.2,2.31,0.28,1.39,0.56,1.39
0.0,0.0,0.0,1.0,0.0,MF,0.21,0.21,0.0,1.7,3.19,0.21,3.62,0.43,0.0
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.21,1.04,0.42,0.0,0.0,1.25,0.42
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.13,1.2,0.4,0.0,3.33,1.33,1.2
0.0,0.0,0.0,1.0,0.0,MF,0.17,0.09,0.17,1.64,1.72,0.0,0.86,0.52,1.64
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,0.0,1.14,1.14,0.23,1.82,0.91,0.68
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,0.12,1.29,2.24,0.0,3.29,0.71,1.41
1.0,0.0,0.0,0.0,0.0,DF,0.06,0.0,0.23,1.05,0.7,0.0,0.35,1.22,0.52
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.16,0.33,1.48,0.16,0.0,0.49,1.15,0.66
1.0,0.0,0.0,0.0,0.0,DF,0.12,0.03,0.25,0.74,0.28,0.03,0.06,0.56,0.93
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,0.1,1.15,0.21,0.0,0.42,1.04,0.52
0.0,0.0,0.0,1.0,0.0,MF,0.11,0.25,0.39,1.06,1.77,0.35,7.21,0.21,0.85
0.0,1.0,0.0,0.0,0.0,FW,0.4,0.0,0.0,1.2,2.8,0.2,0.4,0.6,0.4
0.0,0.0,0.0,1.0,0.0,MF,0.11,0.32,0.26,1.58,0.95,0.16,7.21,0.42,2.11
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.34,1.03,0.34,0.0,0.0,3.79,1.38
1.0,0.0,0.0,0.0,0.0,DF,0.04,0.25,0.18,1.63,0.42,0.11,4.91,1.13,0.85
1.0,0.0,0.0,0.0,0.0,DF,0.07,0.1,0.24,1.0,1.87,0.17,3.74,1.87,1.52
0.0,0.0,0.0,1.0,0.0,MF,0.03,0.1,0.38,1.21,1.59,0.03,0.6,1.11,1.24
0.0,0.0,0.0,1.0,0.0,MF,0.03,0.0,0.14,1.86,0.86,0.0,0.55,2.1,2.62
0.0,0.0,0.0,1.0,0.0,MF,0.07,0.07,0.26,1.83,0.78,0.0,0.1,0.46,0.88
1.0,0.0,0.0,0.0,0.0,DF,0.03,0.0,0.31,0.88,0.69,0.03,0.6,1.48,0.63
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,0.29,2.57,3.43,0.29,2.86,0.0,1.14
0.0,0.0,0.0,0.0,1.0,MFFW,0.27,0.0,0.27,2.05,2.05,0.14,5.75,0.41,0.82
0.0,1.0,0.0,0.0,0.0,FW,0.38,0.17,0.43,1.37,1.84,0.26,0.34,0.47,0.68
0.0,0.0,0.0,1.0,0.0,MF,0.23,0.15,0.38,2.03,1.88,0.15,2.78,0.0,1.13
1.0,0.0,0.0,0.0,0.0,DF,0.19,0.12,0.06,0.69,0.53,0.03,4.19,1.22,0.91
0.0,1.0,0.0,0.0,0.0,FW,0.23,0.0,0.11,1.48,1.48,0.34,0.23,0.23,0.8
0.0,0.0,1.0,0.0,0.0,GK,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,MFFW,0.26,0.0,0.26,2.63,2.37,0.53,1.05,0.26,0.79
1.0,0.0,0.0,0.0,0.0,DF,0.24,0.0,0.0,0.71,0.48,0.0,0.24,1.67,0.48
0.0,0.0,0.0,0.0,1.0,MFFW,0.07,0.04,0.26,2.24,1.8,0.15,0.85,0.85,1.36
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,0.23,0.81,1.98,0.12,0.0,1.28,2.44
0.0,0.0,0.0,1.0,0.0,MF,0.56,0.28,0.0,1.39,2.22,0.0,0.28,0.83,0.83
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.41,0.61,0.82,0.0,0.41,0.61,0.61
0.0,0.0,0.0,1.0,0.0,MF,0.36,0.15,0.1,1.63,1.22,0.05,5.36,0.41,1.79
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.94,1.25,0.62,0.0,0.31,0.94,0.62
0.0,0.0,0.0,1.0,0.0,MF,0.11,0.0,0.0,1.95,1.38,0.0,0.46,1.38,1.61
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.64,1.85,1.34,0.13,0.06,2.04,1.21
0.0,0.0,1.0,0.0,0.0,GK,0.0,0.0,0.27,0.0,0.27,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,GK,0.0,0.0,0.06,0.0,0.25,0.0,0.0,0.0,0.03
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.0,0.4,0.0,0.4,1.2,1.2,0.8
1.0,0.0,0.0,0.0,0.0,DF,0.12,0.0,0.18,0.67,0.4,0.0,0.43,0.82,0.52
0.0,0.0,1.0,0.0,0.0,GK,0.0,0.0,0.33,0.67,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,MF,0.3,0.3,0.45,1.49,1.04,0.0,3.28,1.34,2.39
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,0.23,2.09,2.33,0.0,7.67,0.93,0.47
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.0,0.26,0.53,0.0,0.0,0.26,0.0
1.0,0.0,0.0,0.0,0.0,DF,0.1,0.24,0.15,1.02,0.63,0.05,6.89,0.78,1.21
