DF,FW,GK,MF,MFFW,Pos,Gls,Ast,CrdY,Fls,Fld,Off,Crs,Int,TklW
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,0.17,0.67,1.17,0.0,6.0,0.67,0.5
0.0,0.0,0.0,0.0,1.0,MFFW,0.0,0.19,0.38,1.34,3.82,0.06,7.2,0.25,0.57
0.0,0.0,0.0,0.0,1.0,MFFW,0.52,0.0,0.52,1.86,1.75,0.21,3.4,0.41,1.65
1.0,0.0,0.0,0.0,0.0,DF,0.06,0.0,0.49,1.98,1.3,0.31,0.06,1.67,1.3
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,0.8,3.6,1.2,0.0,0.0,0.4,2.4
0.0,0.0,0.0,0.0,1.0,MFFW,0.2,0.0,0.0,0.2,2.77,0.2,2.38,0.5,0.3
1.0,0.0,0.0,0.0,0.0,DF,0.0,0.0,0.0,0.38,0.77,0.0,0.0,0.38,1.92
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.1,0.34,1.88,1.11,0.14,1.97,0.58,1.54
0.0,0.0,1.0,0.0,0.0,GK,0.0,0.04,0.04,0.04,0.26,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,MF,0.0,0.0,0.47,2.33,0.35,0.23,0.0,1.51,2.67
0.0,1.0,0.0,0.0,0.0,FW,0.22,0.18,0.14,1.87,2.05,0.72,2.09,0.76,0.65
1.0,0.0,0.0,0.0,0.0,DF,0.08,0.0,0.38,1.31,0.69,0.0,0.0,1.69,0.85
0.0,0.0,1.0,0.0,0.0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,MF,0.09,0.0,0.17,1.48,0.87,0.0,1.57,2.43,2.61
0.0,1.0,0.0,0.0,0.0,FW,0.87,0.0,0.0,1.74,2.61,0.43,0.87,0.0,0.0
