Player,Nation,Pos,Squad,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG,90s
Erick Pulga,br BRA,FWMF,Bahia,2000,24,20,1687,3,3,0,0,3,0,0,23,47,6,45,17,22,0,18.7
Erick Pulgar,cl CHI,MF,Flamengo,1994,17,15,1240,1,0,0,0,6,0,0,24,12,0,11,23,14,0,13.8
Eros Mancuso,ar ARG,DF,Fortaleza,1999,30,27,2377,1,3,0,0,6,0,0,32,29,2,63,23,35,0,26.4
Estêvão Willian,br BRA,MFFW,Palmeiras,2007,11,9,831,0,3,0,0,3,0,0,13,22,7,63,2,1,0,9.2
Everaldo Stum,br BRA,FW,Fluminense,1991,28,15,1352,2,0,0,1,2,0,0,31,26,3,7,0,4,0,15.0
Everton Ribeiro,br BRA,MF,Bahia,1989,31,25,1925,2,4,1,1,5,1,1,21,49,0,74,13,21,0,21.4
Everton Soares,br BRA,MF,Flamengo,1996,23,9,874,1,3,0,0,0,0,0,13,6,3,24,4,9,0,9.7
Evertton,br BRA,MF,Flamengo,2003,18,10,981,1,0,0,0,2,1,0,17,12,0,2,5,12,0,10.9
Ewerthon,br BRA,DF,Juventude,2000,18,12,1155,1,0,0,0,2,0,0,8,12,3,37,20,17,0,12.8
Fabiano Souza,br BRA,DF,Ceará,2000,34,34,2907,0,1,0,0,8,0,0,45,42,0,63,28,32,0,32.3
Fabinho,br BRA,MF,RB Bragantino,2002,28,11,1275,0,1,0,0,3,0,0,31,15,0,7,17,19,0,14.2
Fabián Balbuena,py PAR,DF,Grêmio,1991,3,3,225,1,0,0,0,0,0,0,0,3,0,1,4,1,0,2.5
Fabrizio Angileri,ar ARG,DF,Corinthians,1994,28,17,1638,0,0,0,0,4,0,0,18,5,1,60,12,22,0,18.2
Fabrício,br BRA,MF,Vitória,2000,17,1,393,0,2,0,0,0,0,0,19,9,0,27,4,8,0,4.4
Fabrício,br BRA,MFFW,Mirassol,1997,8,4,301,0,0,0,0,0,0,0,4,5,0,3,0,0,0,3.3
Fabrício Bruno,br BRA,DF,Cruzeiro,1996,33,33,2950,3,0,0,0,9,1,1,25,19,0,8,24,36,0,32.8
Facundo Bernal,uy URU,MF,Fluminense,2003,22,11,1037,0,0,0,0,8,0,0,17,13,0,1,10,19,1,11.5
Facundo Torres,uy URU,MFFW,Palmeiras,2000,29,20,1665,6,3,0,0,3,0,0,16,39,1,49,6,12,0,18.5
Fagner,br BRA,DF,Cruzeiro,1989,10,9,830,0,0,0,0,1,0,0,12,8,1,51,11,11,0,9.2
Fausto Vera,ar ARG,MF,Atlético Mineiro,2000,18,15,1127,1,0,0,0,3,0,0,23,5,0,3,12,18,0,12.5
Felipe Anderson,br BRA,MF,Palmeiras,1993,31,24,1773,4,2,0,0,0,0,0,13,18,2,34,20,35,0,19.7
Felipe Jonatan,br BRA,DF,Mirassol,1998,7,4,440,0,1,0,0,0,0,0,7,2,0,29,3,2,0,4.9
Felipe Longo,br BRA,GK,Corinthians,2005,6,6,540,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.0
Felipe Negrucci,br BRA,DF,São Paulo,2004,5,2,226,0,0,0,0,0,0,0,3,2,0,0,1,2,0,2.5
Fernandinho,br BRA,MF,Ceará,1997,22,10,995,0,1,0,0,3,0,0,18,20,7,25,15,14,0,11.1
Fernando,br BRA,FW,RB Bragantino,1999,14,0,316,0,0,0,0,0,0,0,5,4,0,2,0,1,0,3.5
Fernando,br BRA,MFDF,Internacional,1987,6,6,412,0,0,0,0,0,0,0,1,3,0,1,6,5,0,4.6
Fernando Marçal,br BRA,DF,Botafogo–RJ,1989,15,11,1009,5,0,0,0,5,0,0,20,10,0,7,12,12,0,11.2
Fernando Miguel,br BRA,GK,Ceará,1985,8,7,657,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7.3
Fernando Sobral,br BRA,MF,Ceará,1994,30,17,1504,1,0,0,0,8,0,0,38,17,2,32,15,34,0,16.7
Ferreira,br BRA,MFFW,São Paulo,1997,28,20,1580,5,4,0,1,4,0,0,16,48,2,46,7,16,0,17.6
Flaco López,ar ARG,FWMF,Palmeiras,2000,33,22,1999,12,2,2,2,5,0,0,53,55,7,16,6,20,0,22.2
Francis Amuzu,be BEL,MF,Grêmio,1999,22,13,1145,4,2,0,0,4,0,0,10,23,3,39,0,8,0,12.7
Francisco da Costa,br BRA,FW,Mirassol,1995,20,13,1190,6,0,0,0,3,0,0,15,18,10,2,2,0,0,13.2
Franco Cristaldo,ar ARG,MF,Grêmio,1996,30,11,1259,1,3,0,0,1,0,0,10,31,1,70,4,14,0,14.0
Fábio,br BRA,GK,Fluminense,1980,38,38,3420,0,0,0,0,2,0,0,0,3,0,0,1,0,0,38.0
Félix Torres Caicedo,ec ECU,DF,Corinthians,1997,10,8,647,0,0,0,0,1,0,0,14,3,0,2,14,9,0,7.2
Gabriel,br BRA,DF,Bahia,2001,13,10,948,0,0,0,0,4,0,0,24,8,1,0,13,13,0,10.5
Gabriel,br BRA,GK,Vitória / Sport Recife,1992,24,24,2160,0,0,0,0,3,0,0,0,5,0,0,0,0,0,24.0
Gabriel,br BRA,MF,RB Bragantino,1992,33,32,2634,1,0,0,0,11,0,0,43,30,0,6,37,46,0,29.3
Gabriel,br BRA,MFFW,Mirassol,1990,25,21,1592,5,2,0,0,2,0,0,8,30,8,32,6,7,0,17.7
Gabriel Bahia,br BRA,DF,Botafogo–RJ,1998,4,3,236,0,0,0,0,0,0,0,2,1,0,0,2,2,0,2.6
Gabriel Baralhas,br BRA,MF,Vitória,1998,28,26,2276,2,1,0,0,10,0,0,42,29,0,11,39,34,0,25.3
Gabriel Barbosa,br BRA,FWMF,Cruzeiro,1996,30,9,1083,6,2,1,2,7,0,0,9,14,13,14,0,3,0,12.0
Gabriel Bontempo,br BRA,MF,Santos,2005,25,9,997,2,1,0,0,1,0,0,10,19,0,12,17,13,0,11.1
Gabriel Brazão,br BRA,GK,Santos,2000,38,38,3397,0,0,0,0,2,0,0,1,13,0,0,2,1,0,37.7
Gabriel Chapecó,br BRA,GK,Grêmio,2000,6,6,540,0,0,0,0,2,1,1,0,3,0,0,0,0,0,6.0
Gabriel Fuentes,co COL,DF,Fluminense,1997,11,8,825,0,0,0,0,2,0,0,14,5,0,36,9,13,0,9.2
Gabriel Knesowitsch,br BRA,DF,Mirassol,2003,4,4,360,0,0,0,0,0,0,0,1,3,0,0,2,3,0,4.0
Gabriel Menino,br BRA,MFDF,Atlético Mineiro,2000,23,9,889,1,1,0,0,1,0,0,14,15,1,23,9,8,0,9.9
Gabriel Mercado,ar ARG,DF,Internacional,1987,14,13,1195,1,0,0,0,4,0,0,16,9,0,0,13,10,0,13.3
Gabriel Taliari,br BRA,FWMF,Juventude,1997,34,28,2296,8,4,0,0,7,0,0,57,68,8,15,9,19,0,25.5
Gabriel Veron,br BRA,FWMF,Juventude,2002,13,7,639,0,0,0,0,0,0,0,9,7,0,5,3,4,0,7.1
Ganso,br BRA,MF,Fluminense,1989,17,7,644,1,0,0,0,2,0,0,7,16,0,15,0,3,0,7.2
Gastón Ávila,ar ARG,DF,Fortaleza,2001,27,25,2321,0,0,0,0,4,0,0,23,25,1,26,28,44,0,25.8
Germán Cano,ar ARG,FW,Fluminense,1988,22,18,1498,6,0,1,1,1,0,0,10,25,5,11,2,3,0,16.6
Gerson,br BRA,MF,Flamengo,1997,9,9,711,0,2,0,0,0,1,0,9,20,0,4,5,14,0,7.9
