Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
154,Gustavo Cuellar,co COL,MF,Grêmio,32,1992,17,10,881,9.8,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,cdd22fcf
155,Tomás Cuello,ar ARG,MFFW,Atlético Mineiro,24,2000,16,14,1203,13.4,1,1,2,1,0,0,3,1,0.07,0.07,0.15,0.07,0.15,Matches,5c8615dd
156,Carlos Cuesta,co COL,DF,Vasco da Gama,25,1999,13,12,1092,12.1,1,0,1,1,0,0,3,0,0.08,0.00,0.08,0.08,0.08,Matches,574fff8c
157,Cuiabano,br BRA,DFMF,Botafogo–RJ,21,2003,30,15,1534,17.0,5,2,7,5,0,0,4,0,0.29,0.12,0.41,0.29,0.41,Matches,7e49bdbd
158,Jair Cunha,br BRA,DF,Botafogo–RJ,19,2005,11,11,990,11.0,0,1,1,0,0,0,0,0,0.00,0.09,0.09,0.00,0.09,Matches,ac31d35e
159,Lucas Cunha,br BRA,DF,Sport Recife,28,1997,6,5,428,4.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0b8748ac
160,Danielzinho,br BRA,MF,Mirassol,30,1994,37,37,3265,36.3,0,2,2,0,0,0,4,0,0.00,0.06,0.06,0.00,0.06,Matches,320de24c
161,Danilo,br BRA,DF,Flamengo,33,1991,20,14,1410,15.7,1,1,2,1,0,0,2,1,0.06,0.06,0.13,0.06,0.13,Matches,94b2001f
162,David,br BRA,MFFW,Vasco da Gama,29,1995,24,5,750,8.3,2,3,5,2,0,0,3,1,0.24,0.36,0.60,0.24,0.60,Matches,92f9ace5
163,Matheus Davó,br BRA,FW,Mirassol,25,1999,2,0,35,0.4,0,1,1,0,0,0,0,0,0.00,2.57,2.57,0.00,2.57,Matches,e48e1310
164,Nicolás De La Cruz,uy URU,MF,Flamengo,27,1997,19,12,1018,11.3,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,8fda5c72
165,Gabriel Delfim,br BRA,GK,Atlético Mineiro,22,2002,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,012beb6e
166,Deyverson,br BRA,FW,Fortaleza,33,1991,27,12,1174,13.0,7,0,7,6,1,1,4,0,0.54,0.00,0.54,0.46,0.46,Matches,2e5e846d
167,Enzo Díaz,ar ARG,MFDF,São Paulo,29,1995,27,20,1877,20.9,0,5,5,0,0,0,10,0,0.00,0.24,0.24,0.00,0.24,Matches,411d2dc0
168,Lautaro Díaz,ar ARG,FW,Santos,26,1998,15,12,1020,11.3,3,2,5,3,0,0,2,0,0.26,0.18,0.44,0.26,0.44,Matches,28b89ba7
169,Lautaro Díaz,ar ARG,FW,Cruzeiro,26,1998,6,0,85,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,28b89ba7
170,Dieguinho Diego,br BRA,MF,Ceará,29,1995,32,31,2653,29.5,0,2,2,0,0,0,5,0,0.00,0.07,0.07,0.00,0.07,Matches,7e5a7340
171,Dieguinho,br BRA,MFFW,Corinthians,17,2007,13,4,451,5.0,0,1,1,0,0,0,0,0,0.00,0.20,0.20,0.00,0.20,Matches,5c983aa2
172,Diogenes,br BRA,GK,Santos,24,2001,1,0,23,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,858e2e40
173,Dodi,br BRA,MF,Grêmio,28,1996,32,26,2343,26.0,0,1,1,0,0,0,9,1,0.00,0.04,0.04,0.00,0.04,Matches,2830b8f7
174,Fabricio Domínguez,uy URU,MF,Sport Recife,26,1998,4,1,100,1.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2798cc56
175,Matheus Donelli,br BRA,GK,Corinthians,22,2002,5,5,450,5.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,7c736064
176,Thiago dos Santos,br BRA,MFDF,Fluminense,35,1989,10,3,287,3.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,5408d2b2
177,Alexis Duarte,py PAR,DF,Santos,24,2000,5,5,405,4.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,a9f8c8c2
178,David Duarte,br BRA,DF,Bahia,30,1995,25,24,2207,24.5,1,1,2,1,0,0,4,0,0.04,0.04,0.08,0.04,0.08,Matches,91bf16f7
179,Dudu,br BRA,MFFW,Cruzeiro,33,1992,5,2,215,2.4,1,0,1,1,0,0,0,0,0.42,0.00,0.42,0.42,0.42,Matches,895ef5ec
180,Dudu,br BRA,MF,Vitória,25,1999,12,2,319,3.5,0,0,0,0,0,0,7,2,0.00,0.00,0.00,0.00,0.00,Matches,c9ebe876
181,Dudu,br BRA,MF,Atlético Mineiro,33,1992,18,14,1048,11.6,3,2,5,3,0,0,1,0,0.26,0.17,0.43,0.26,0.43,Matches,895ef5ec
182,Edenílson,br BRA,MF,Grêmio,35,1989,31,25,1802,20.0,3,2,5,3,0,0,6,0,0.15,0.10,0.25,0.15,0.25,Matches,4e50f20e
183,Eder,br BRA,DF,Ceará,29,1995,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ba1a2c4c
184,Edu,br BRA,DF,Vitória,24,2000,20,12,1074,11.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,01dc4e41
185,Carlos Eduardo,br BRA,MF,Cruzeiro,35,1989,29,9,906,10.1,1,0,1,1,0,0,1,1,0.10,0.00,0.10,0.10,0.10,Matches,1a234d32
186,Carlos Eduardo,br BRA,FWMF,Mirassol,28,1996,24,5,734,8.2,2,5,7,1,1,1,2,0,0.25,0.61,0.86,0.12,0.74,Matches,27c23008
187,Carlos Eduardo,br BRA,FWMF,Vitória,28,1996,2,0,41,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,27c23008
188,Rodrigo Ely,br BRA,DF,Grêmio,31,1993,2,1,40,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fd47b4f2
189,Emerson,br BRA,DF,Flamengo,26,1999,15,14,1247,13.9,1,1,2,1,0,0,1,0,0.07,0.07,0.14,0.07,0.14,Matches,df8b52a5
190,Ênio,br BRA,MFFW,Juventude,23,2001,26,8,1108,12.3,3,0,3,3,0,0,3,0,0.24,0.00,0.24,0.24,0.24,Matches,661b892f
191,Erick,br BRA,MFDF,Bahia,27,1997,16,6,683,7.6,1,0,1,1,0,0,3,0,0.13,0.00,0.13,0.13,0.13,Matches,8a826636
192,Erick,br BRA,MFFW,Vitória,27,1997,31,25,2054,22.8,3,5,8,3,0,0,8,0,0.13,0.22,0.35,0.13,0.35,Matches,8edcad0d
193,Gonzalo Escobar,ar ARG,DF,Santos,27,1997,30,23,2008,22.3,0,0,0,0,0,0,8,1,0.00,0.00,0.00,0.00,0.00,Matches,12207ec1
194,Lucas Esteves,br BRA,DFMF,Grêmio,24,2000,10,8,671,7.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,c6ec0258
195,Guilherme Estrella,br BRA,MF,Vasco da Gama,19,2005,1,0,19,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,df090e8c
196,Lucas Evangelista,br BRA,MF,Palmeiras,29,1995,19,12,1046,11.6,2,1,3,2,0,0,2,0,0.17,0.09,0.26,0.17,0.26,Matches,5f4ce4b6
197,Éverson,br BRA,GK,Atlético Mineiro,34,1990,36,36,3240,36.0,0,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,Matches,a59c090b
198,Evertton,br BRA,MF,Flamengo,21,2003,18,10,981,10.9,1,0,1,1,0,0,2,1,0.09,0.00,0.09,0.09,0.09,Matches,4961c6f4
199,Ewerthon,br BRA,DF,Juventude,24,2000,18,12,1155,12.8,1,0,1,1,0,0,2,0,0.08,0.00,0.08,0.08,0.08,Matches,c41aca39
200,Fabinho,br BRA,MF,RB Bragantino,22,2002,28,11,1275,14.2,0,1,1,0,0,0,3,0,0.00,0.07,0.07,0.00,0.07,Matches,ff0e595c
201,Fábio,br BRA,GK,Fluminense,44,1980,38,38,3420,38.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,15825726
202,Fabrício,br BRA,MFFW,Mirassol,27,1997,8,4,301,3.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0211a29e
203,Fabrício,br BRA,MF,Vitória,24,2000,17,1,393,4.4,0,2,2,0,0,0,0,0,0.00,0.46,0.46,0.00,0.46,Matches,e2290a67
204,Fagner,br BRA,DF,Cruzeiro,35,1989,10,9,830,9.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,a9cc58fe
205,Marcos Felipe,br BRA,GK,Bahia,28,1996,11,10,972,10.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,453bdfb9
206,Lucas Fernandes,br BRA,MF,Juventude,27,1997,7,4,397,4.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a109d777
207,Matheus Fernandes,br BRA,MF,RB Bragantino,26,1998,20,5,661,7.3,1,0,1,1,0,0,3,0,0.14,0.00,0.14,0.14,0.14,Matches,f76fdcd2
208,Nathan Fernandes,br BRA,MFFW,Botafogo–RJ,19,2005,10,2,330,3.7,1,2,3,1,0,0,1,0,0.27,0.55,0.82,0.27,0.82,Matches,239bbd8b
209,Pol Fernández,ar ARG,MF,Fortaleza,33,1991,7,3,286,3.2,0,2,2,0,0,0,1,0,0.00,0.63,0.63,0.00,0.63,Matches,24377e64
210,Fernandinho,br BRA,MF,Ceará,27,1997,22,10,995,11.1,0,1,1,0,0,0,3,0,0.00,0.09,0.09,0.00,0.09,Matches,877b54d5
211,Fernando,br BRA,MFDF,Internacional,37,1987,6,6,412,4.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,41f32541
212,Fernando,br BRA,FW,RB Bragantino,25,1999,14,0,316,3.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d9d43555
213,Nahuel Ferraresi,ve VEN,DF,São Paulo,26,1998,24,19,1797,20.0,0,3,3,0,0,0,3,0,0.00,0.15,0.15,0.00,0.15,Matches,719aab45
214,Ferreira,br BRA,MFFW,São Paulo,27,1997,28,20,1580,17.6,5,4,9,5,0,1,4,0,0.28,0.23,0.51,0.28,0.51,Matches,1414e902
215,Bruno Ferreira,br BRA,GK,Ceará,30,1994,31,31,2763,30.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,5093517f
216,Lucas Ferreira,br BRA,MF,São Paulo,18,2006,13,8,761,8.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,7025807f
217,Luiz Filipe,br BRA,FW,Mirassol,23,2001,1,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4a615e0b
218,André Filipinho,br BRA,DF,Juventude,28,1997,5,3,303,3.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,398048a4
219,Riquelme Fillipi,br BRA,FW,Palmeiras,18,2006,2,0,28,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6f913257
220,Caíque França,br BRA,GK,Sport Recife,29,1995,15,15,1350,15.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,fbb19f57
221,Matheus França,br BRA,MFFW,Vasco da Gama,20,2004,15,2,386,4.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,077faf72
222,Ryan Francisco,br BRA,FW,São Paulo,18,2006,8,2,205,2.3,2,0,2,2,0,0,0,0,0.88,0.00,0.88,0.88,0.88,Matches,8059567a
223,Alan Franco,ec ECU,MF,Atlético Mineiro,26,1998,30,30,2628,29.2,1,0,1,1,0,0,4,0,0.03,0.00,0.03,0.03,0.03,Matches,c76b161b
224,Alan Franco,ar ARG,DF,São Paulo,28,1996,29,28,2282,25.4,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches,a548281c
225,Luan Freitas,br BRA,DF,Juventude,24,2001,14,12,1124,12.5,0,1,1,0,0,0,0,0,0.00,0.08,0.08,0.00,0.08,Matches,b2dfa423
226,Lucas Freitas,br BRA,DF,Vasco da Gama,24,2001,21,19,1552,17.2,1,0,1,1,0,0,4,0,0.06,0.00,0.06,0.06,0.06,Matches,a92be6c1
227,Marlon Freitas,br BRA,MF,Botafogo–RJ,29,1995,35,33,2924,32.5,1,4,5,1,0,0,8,0,0.03,0.12,0.15,0.03,0.15,Matches,ae3181de
228,Riquelme Freitas,br BRA,MFFW,Grêmio,18,2006,10,4,388,4.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,36e163aa
229,Juan Freytes,ar ARG,DF,Fluminense,25,2000,33,33,2924,32.5,0,0,0,0,0,0,8,1,0.00,0.00,0.00,0.00,0.00,Matches,b9863758
230,Adonis Frías,ar ARG,DF,Santos,26,1998,13,12,1112,12.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,1b2f1090
231,Bruno Fuchs,br BRA,DF,Palmeiras,25,1999,27,18,1723,19.1,2,1,3,2,0,0,5,0,0.10,0.05,0.16,0.10,0.16,Matches,ee89e28d
232,Gabriel Fuentes,co COL,DF,Fluminense,27,1997,11,8,825,9.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,bb23a0e7
233,Daniel Fuzato,br BRA,GK,Vasco da Gama,27,1997,3,2,182,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,82328faf
234,Gabriel,br BRA,DF,Bahia,23,2001,13,10,948,10.5,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,4fd28619
235,Gabriel,br BRA,MFFW,Mirassol,35,1990,25,21,1592,17.7,5,2,7,5,0,0,2,0,0.28,0.11,0.40,0.28,0.40,Matches,8dc3be2b
236,Gabriel,br BRA,GK,Vitória,32,1992,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f93ed0df
237,Gabriel,br BRA,MF,RB Bragantino,32,1992,33,32,2634,29.3,1,0,1,1,0,0,11,0,0.03,0.00,0.03,0.03,0.03,Matches,e9c0d5d8
238,Gabriel,br BRA,GK,Sport Recife,32,1992,23,23,2070,23.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,f93ed0df
239,Victor Gabriel,br BRA,DF,Internacional,20,2004,14,13,1109,12.3,2,0,2,2,0,0,1,0,0.16,0.00,0.16,0.16,0.16,Matches,d1c8df97
240,Antonio Galeano,py PAR,MF,Ceará,24,2000,38,38,3125,34.7,7,3,10,7,0,0,2,0,0.20,0.09,0.29,0.20,0.29,Matches,f7d301ee
241,Emerson Galego,br BRA,FW,Juventude,25,1999,2,0,27,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cfd67995
242,Mateo Gamarra,py PAR,DF,Cruzeiro,24,2000,2,1,154,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,878dbd04
243,Ganso,br BRA,MF,Fluminense,35,1989,17,7,644,7.2,1,0,1,1,0,0,2,0,0.14,0.00,0.14,0.14,0.14,Matches,23593121
244,Maurício Garcez,br BRA,FWMF,Juventude,27,1997,3,0,61,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1c060dbf
245,Benjamín Garré,ar ARG,MF,Vasco da Gama,24,2000,10,3,293,3.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,351780d8
246,Rodrigo Garro,ar ARG,MFFW,Corinthians,27,1998,19,15,1410,15.7,0,3,3,0,0,0,6,0,0.00,0.19,0.19,0.00,0.19,Matches,42b3b51f
247,Lucas Gazal,br BRA,DF,Fortaleza,25,1999,7,6,546,6.1,0,1,1,0,0,0,2,0,0.00,0.16,0.16,0.00,0.16,Matches,dcae46d5
248,Gerson,br BRA,MF,Flamengo,27,1997,9,9,711,7.9,0,2,2,0,0,0,0,1,0.00,0.25,0.25,0.00,0.25,Matches,8827bf46
249,Agustín Giay,ar ARG,DFMF,Palmeiras,21,2004,29,21,1978,22.0,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,8047b72e
250,Gil,br BRA,DF,Santos,37,1987,8,8,720,8.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,31edef00
251,Gilberto,br BRA,DF,Bahia,31,1993,23,21,1777,19.7,1,0,1,1,0,0,6,0,0.05,0.00,0.05,0.05,0.05,Matches,1338e42b
252,Gilberto,br BRA,FW,Juventude,35,1989,23,15,1099,12.2,2,2,4,2,0,1,5,0,0.16,0.16,0.33,0.16,0.33,Matches,5da22685
253,Giovanny,br BRA,FWMF,Juventude,27,1997,19,5,653,7.3,0,2,2,0,0,0,3,0,0.00,0.28,0.28,0.00,0.28,Matches,ed236e87
254,Daniel Giraldo,co COL,MF,Juventude,32,1992,15,7,681,7.6,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,ed8489d1
255,Leonardo Godoy,ar ARG,DF,Santos,29,1995,6,5,416,4.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0f9d8e45
256,Davi Goes,br BRA,MF,Juventude,19,2005,2,1,64,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6f2422bf
257,Johnny Góes,br BRA,DF,Flamengo,17,2007,1,1,90,1.0,0,1,1,0,0,0,0,0,0.00,1.00,1.00,0.00,1.00,Matches,f274d13e
258,Bruno Gomes,br BRA,MFDF,Internacional,23,2001,14,11,981,10.9,0,2,2,0,0,0,2,0,0.00,0.18,0.18,0.00,0.18,Matches,76f2bbf8
259,Davi Gomes,br BRA,FW,RB Bragantino,19,2005,7,0,221,2.5,1,0,1,1,0,0,0,0,0.41,0.00,0.41,0.41,0.41,Matches,4081e2e8
260,Fredi Gomes,br BRA,DF,Bahia,18,2006,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3ac829b6
261,Igor Gomes,br BRA,MF,Atlético Mineiro,25,1999,34,21,1824,20.3,4,3,7,4,0,0,3,1,0.20,0.15,0.35,0.20,0.35,Matches,6a7fb945
262,Andrés Gómez,co COL,MF,Vasco da Gama,22,2002,16,10,1028,11.4,1,5,6,1,0,0,1,0,0.09,0.44,0.53,0.09,0.53,Matches,76a82373
263,Gustavo Gómez,py PAR,DF,Palmeiras,31,1993,27,26,2310,25.7,2,1,3,2,0,0,7,0,0.08,0.04,0.12,0.08,0.12,Matches,d5ce52a5
264,Nuno Gonçalo Moreira,pt POR,MFFW,Vasco da Gama,25,1999,36,35,2549,28.3,7,5,12,7,0,0,4,0,0.25,0.18,0.42,0.25,0.42,Matches,c28df63c
265,Caíque Gonçalves,br BRA,MF,Juventude,29,1995,28,26,2049,22.8,0,1,1,0,0,0,10,0,0.00,0.04,0.04,0.00,0.04,Matches,e075d03e
266,Matheus Gonçalves,br BRA,MF,Flamengo,19,2005,4,0,69,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,071a6836
267,Gregore,br BRA,MF,Botafogo–RJ,30,1994,12,11,982,10.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,49815f34
268,Guga,br BRA,DFMF,Fluminense,26,1998,17,11,992,11.0,1,1,2,1,0,0,1,0,0.09,0.09,0.18,0.09,0.18,Matches,6975a3e1
269,Guilherme,br BRA,MF,Santos,29,1995,32,27,2250,25.0,4,7,11,4,0,0,1,0,0.16,0.28,0.44,0.16,0.44,Matches,58649f05
270,Guilherme,br BRA,MF,Flamengo,18,2006,1,1,62,0.7,2,0,2,2,0,0,0,0,2.90,0.00,2.90,2.90,2.90,Matches,281919b9
271,Guilherme,br BRA,MFFW,Mirassol,33,1991,12,6,539,6.0,2,0,2,2,0,0,2,0,0.33,0.00,0.33,0.33,0.33,Matches,9e61c019
272,Ryan Guilherme,br BRA,MF,Cruzeiro,22,2002,3,0,56,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2ebfb12f
273,Zé Guilherme,br BRA,DF,Bahia,19,2005,3,0,86,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9fd07241
274,Gustavinho,br BRA,MF,RB Bragantino,20,2004,17,8,741,8.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,9525ddcd
275,Gustavo,br BRA,GK,Juventude,31,1993,10,10,855,9.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,f764f16e
276,Luiz Gustavo,br BRA,DF,Vasco da Gama,18,2006,5,3,288,3.2,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,8b7b78ac
277,Luiz Gustavo,br BRA,MFDF,São Paulo,37,1987,12,9,780,8.7,1,0,1,1,0,0,0,0,0.12,0.00,0.12,0.12,0.12,Matches,82671804
278,Ryan Gustavo,br BRA,MF,Corinthians,21,2003,16,5,527,5.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,93573ea1
279,Yeison Guzmán,co COL,MF,Fortaleza,26,1998,5,1,188,2.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,31e0d112
280,Lucas Halter,br BRA,DF,Vitória,24,2000,33,33,2904,32.3,4,1,5,4,0,0,8,1,0.12,0.03,0.15,0.12,0.15,Matches,7aa882a2
281,Héctor,es ESP,FWMF,Corinthians,29,1995,9,3,246,2.7,1,0,1,1,0,0,0,0,0.37,0.00,0.37,0.37,0.37,Matches,6294bc9d
282,Henrique,br BRA,MF,São Paulo,18,2006,3,0,43,0.5,0,1,1,0,0,0,0,0,0.00,2.09,2.09,0.00,2.09,Matches,333b79ce
283,Bruno Henrique,br BRA,MF,Internacional,35,1989,29,19,1397,15.5,2,0,2,2,0,0,3,1,0.13,0.00,0.13,0.13,0.13,Matches,5a43b021
284,Bruno Henrique,br BRA,FWMF,Flamengo,34,1990,32,20,1811,20.1,8,0,8,7,1,1,7,0,0.40,0.00,0.40,0.35,0.35,Matches,5edff24f
285,Dalbert Henrique,br BRA,DFMF,Sport Recife,31,1993,5,0,110,1.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,f45f9427
286,Gustavo Henrique,br BRA,DF,Corinthians,31,1993,23,23,2070,23.0,3,0,3,3,0,0,5,0,0.13,0.00,0.13,0.13,0.13,Matches,fa066690
287,Matheus Henrique,br BRA,MF,Cruzeiro,27,1997,17,8,723,8.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,a2d9f138
288,Paulo Henrique,br BRA,DF,Vasco da Gama,28,1996,28,28,2490,27.7,1,8,9,1,0,0,11,1,0.04,0.29,0.33,0.04,0.33,Matches,25a0cb08
289,Pedro Henrique,br BRA,MFFW,Ceará,34,1990,28,17,1380,15.3,4,3,7,4,0,0,8,0,0.26,0.20,0.46,0.26,0.46,Matches,460976a2
290,Pedro Henrique,br BRA,DF,RB Bragantino,29,1995,31,31,2654,29.5,1,1,2,1,0,0,6,0,0.03,0.03,0.07,0.03,0.07,Matches,4322e5d7
291,Hércules,br BRA,MF,Fluminense,24,2000,34,26,2160,24.0,3,1,4,3,0,0,1,0,0.12,0.04,0.17,0.12,0.17,Matches,eadc7b45
292,Diogo Hereda,br BRA,DFMF,Sport Recife,26,1998,11,10,848,9.4,0,1,1,0,0,0,1,0,0.00,0.11,0.11,0.00,0.11,Matches,4985c10d
293,Marcelo Hermes,br BRA,DFMF,Juventude,29,1995,22,20,1858,20.6,2,5,7,2,0,0,3,0,0.10,0.24,0.34,0.10,0.34,Matches,89346085
294,José Herrera,ar ARG,MF,Fortaleza,21,2003,19,14,1046,11.6,2,3,5,2,0,0,3,0,0.17,0.26,0.43,0.17,0.43,Matches,1dcddc4d
295,Hudson,br BRA,MF,Juventude,24,2001,4,3,233,2.6,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,7cada45b
296,Hugo,br BRA,MFDF,Corinthians,27,1997,10,6,457,5.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,bd2593f3
297,Victor Hugo,br BRA,MF,Santos,20,2004,9,6,443,4.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,33fca7f7
298,Victor Hugo,br BRA,MF,Flamengo,20,2004,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,33fca7f7
299,Victor Hugo,br BRA,DF,Sport Recife,16,2008,1,1,61,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4e3e53d2
300,Vitor Hugo,br BRA,DF,Atlético Mineiro,33,1991,23,20,1639,18.2,3,0,3,3,0,0,3,1,0.16,0.00,0.16,0.16,0.16,Matches,f2c1300a
301,Huguinho,br BRA,MF,Botafogo–RJ,17,2007,1,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9368b299
302,Hulk,br BRA,FWMF,Atlético Mineiro,38,1986,33,27,2438,27.1,8,6,14,7,1,1,9,0,0.30,0.22,0.52,0.26,0.48,Matches,33a1f72e
303,José Hurtado,ec ECU,DF,RB Bragantino,23,2001,28,21,1864,20.7,1,0,1,1,0,0,2,1,0.05,0.00,0.05,0.05,0.05,Matches,cb067e96
304,Hyan,br BRA,MF,Santos,20,2004,2,0,18,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,37f34760
305,Hyoran,br BRA,MFFW,Sport Recife,31,1993,12,4,402,4.5,0,1,1,0,0,0,2,0,0.00,0.22,0.22,0.00,0.22,Matches,ffb88c28
306,Iago,br BRA,DF,Flamengo,19,2005,1,1,90,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,f76a981b
307,Iago,br BRA,DFMF,Bahia,27,1997,15,7,626,7.0,1,0,1,1,0,0,2,0,0.14,0.00,0.14,0.14,0.14,Matches,054849d2
308,Ignácio,br BRA,DF,Fluminense,28,1996,19,13,1147,12.7,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,2e005e3b
309,Juan Ignacio Dinenno,ar ARG,FW,Cruzeiro,30,1994,1,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fc2c5692
310,Juan Ignacio Dinenno,ar ARG,FW,São Paulo,30,1994,7,3,262,2.9,1,0,1,1,0,0,2,0,0.34,0.00,0.34,0.34,0.34,Matches,fc2c5692
311,Juan Ignacio Ramírez,uy URU,FW,Sport Recife,27,1997,8,3,291,3.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,ad513a6b
312,Isaac,br BRA,FW,Atlético Mineiro,20,2004,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f689c342
313,Isaque,br BRA,MF,Fluminense,17,2007,1,0,22,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7d20cf39
