Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
15,Allan,br BRA,MF,Palmeiras,20,2004,28,8,921,10.2,2,3,5,2,0,0,0,1,0,14,12,1,15,9,20,,,0
16,Allan,br BRA,MF,Botafogo–RJ,34,1991,21,11,965,10.7,0,0,0,0,0,0,8,0,0,28,11,0,8,7,20,,,0
17,Allan,br BRA,MF,Flamengo,27,1997,13,9,683,7.6,0,0,0,0,0,0,2,0,0,18,7,0,0,6,4,,,0
18,Allanzinho,br BRA,MF,Fortaleza,24,2000,9,2,287,3.2,0,2,2,0,0,0,1,0,0,6,11,1,15,2,2,,,0
19,Júnior Alonso,py PAR,DF,Atlético Mineiro,31,1993,31,31,2610,29.0,1,1,2,1,0,0,6,2,0,23,11,0,12,30,21,,,1
20,Dyogo Alves,br BRA,GK,Flamengo,21,2004,1,1,90,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,0
21,Matheus Alves,br BRA,MF,São Paulo,19,2005,8,4,371,4.1,0,1,1,0,0,0,3,0,0,9,6,1,4,3,4,,,0
22,Alysson,br BRA,MFFW,Grêmio,18,2006,31,21,1718,19.1,1,2,3,1,0,0,6,0,0,25,64,3,33,17,24,,,0
23,Francis Amuzu,be BEL,MF,Grêmio,25,1999,22,13,1145,12.7,4,2,6,4,0,0,4,0,0,10,23,3,39,0,8,,,0
24,Felipe Anderson,br BRA,MF,Palmeiras,31,1993,31,24,1773,19.7,4,2,6,4,0,0,0,0,0,13,18,2,34,20,35,,,0
25,Kervin Andrade,ve VEN,MF,Fortaleza,19,2005,7,1,163,1.8,0,1,1,0,0,0,3,0,0,6,4,1,10,1,4,,,0
26,André,br BRA,MF,Corinthians,18,2006,9,1,315,3.5,2,0,2,2,0,0,0,0,0,8,9,0,0,2,7,,,0
27,José Andrés Martínez,ve VEN,MF,Corinthians,30,1994,24,17,1396,15.5,1,1,2,1,0,0,11,2,1,21,28,1,37,14,19,,,0
28,Wilker Ángel,ve VEN,DF,Juventude,31,1993,18,16,1423,15.8,1,0,1,1,0,0,5,0,0,26,5,3,0,12,6,,,0
29,Fabrizio Angileri,ar ARG,DF,Corinthians,30,1994,28,17,1638,18.2,0,0,0,0,0,0,4,0,0,18,5,1,60,12,22,,,0
30,Anthoni,br BRA,GK,Internacional,23,2002,18,16,1530,17.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,,,1
31,Marcos Antônio,br BRA,MF,São Paulo,24,2000,28,23,1896,21.1,0,4,4,0,0,0,4,0,0,29,27,2,9,8,8,,,0
32,Léo Aragão,br BRA,GK,Cruzeiro,22,2002,4,3,334,3.7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,,0
33,Guilherme Arana,br BRA,DFMF,Atlético Mineiro,27,1997,25,20,1748,19.4,1,1,2,1,0,0,7,0,0,20,17,2,67,19,18,,,0
34,Willian Arão,br BRA,MF,Santos,32,1992,13,9,779,8.7,0,0,0,0,0,0,0,0,0,11,11,1,0,15,7,,,0
35,Luiz Araújo,br BRA,MF,Flamengo,28,1996,35,15,1765,19.6,7,3,10,7,0,0,2,0,0,32,24,1,105,8,35,,,0
36,Matheus Araújo,br BRA,MF,Ceará,22,2002,11,2,270,3.0,1,1,2,1,0,0,0,0,0,3,3,0,10,0,1,,,0
37,Michel Araujo,uy URU,MF,Bahia,28,1996,24,8,852,9.5,4,1,5,4,0,0,3,0,0,16,17,1,12,7,23,,,0
38,Alexander Aravena,cl CHI,MF,Grêmio,22,2002,22,3,581,6.5,3,0,3,3,0,0,1,0,0,6,11,1,10,0,4,,,0
39,Robert Arboleda,ec ECU,DF,São Paulo,33,1991,24,22,2057,22.9,3,0,3,3,0,0,4,0,0,21,15,4,1,16,22,,,0
40,Lucas Arcanjo,br BRA,GK,Vitória,26,1998,29,29,2545,28.3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,,,0
41,Matias Arezo,uy URU,FW,Grêmio,22,2002,8,3,268,3.0,1,1,2,1,0,0,1,0,0,5,2,2,4,0,1,,,0
42,Jhon Arias,co COL,MFFW,Fluminense,27,1997,12,12,1079,12.0,1,4,5,0,1,1,1,0,0,14,33,1,74,4,10,,,0
43,Santiago Arias,co COL,DF,Bahia,33,1992,21,15,1419,15.8,0,0,0,0,0,0,3,0,0,10,18,3,33,19,17,,,0
44,Giorgian de Arrascaeta,uy URU,MF,Flamengo,30,1994,33,30,2350,26.1,18,14,32,16,2,3,3,0,0,13,54,2,144,6,17,,,0
45,Keny Arroyo,ec ECU,MF,Cruzeiro,18,2006,13,7,646,7.2,2,1,3,2,0,0,4,0,0,6,18,0,15,5,4,,,0
46,Arthur,br BRA,FW,Sport Recife,21,2003,6,1,200,2.2,0,0,0,0,0,0,0,0,0,3,7,0,0,1,0,,,0
47,Artur,br BRA,MF,Botafogo–RJ,26,1998,28,22,1917,21.3,5,4,9,5,0,0,3,0,0,19,30,3,58,12,13,,,0
