Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches,-9999
25,Kervin Andrade,ve VEN,MF,Fortaleza,19,2005,1.8,3,0,0,6,4,1,10,1,4,,,0,Matches,4d3dafbc
26,André,br BRA,MF,Corinthians,18,2006,3.5,0,0,0,8,9,0,0,2,7,,,0,Matches,867660e8
27,José Andrés Martínez,ve VEN,MF,Corinthians,30,1994,15.5,11,2,1,21,28,1,37,14,19,,,0,Matches,c8364e8e
28,Wilker Ángel,ve VEN,DF,Juventude,31,1993,15.8,5,0,0,26,5,3,0,12,6,,,0,Matches,1155a7ba
29,Fabrizio Angileri,ar ARG,DF,Corinthians,30,1994,18.2,4,0,0,18,5,1,60,12,22,,,0,Matches,fdd26d71
30,Anthoni,br BRA,GK,Internacional,23,2002,17.0,0,0,0,0,2,0,0,0,0,,,1,Matches,a0b17b31
31,Marcos Antônio,br BRA,MF,São Paulo,24,2000,21.1,4,0,0,29,27,2,9,8,8,,,0,Matches,108fe016
32,Léo Aragão,br BRA,GK,Cruzeiro,22,2002,3.7,1,0,0,0,1,0,0,0,0,,,0,Matches,47e05bd9
33,Guilherme Arana,br BRA,DFMF,Atlético Mineiro,27,1997,19.4,7,0,0,20,17,2,67,19,18,,,0,Matches,2b15a82a
34,Willian Arão,br BRA,MF,Santos,32,1992,8.7,0,0,0,11,11,1,0,15,7,,,0,Matches,f47a530a
35,Luiz Araújo,br BRA,MF,Flamengo,28,1996,19.6,2,0,0,32,24,1,105,8,35,,,0,Matches,fa18c72e
36,Matheus Araújo,br BRA,MF,Ceará,22,2002,3.0,0,0,0,3,3,0,10,0,1,,,0,Matches,2b0a4a75
37,Michel Araujo,uy URU,MF,Bahia,28,1996,9.5,3,0,0,16,17,1,12,7,23,,,0,Matches,1159e4ae
38,Alexander Aravena,cl CHI,MF,Grêmio,22,2002,6.5,1,0,0,6,11,1,10,0,4,,,0,Matches,4535ab5d
39,Robert Arboleda,ec ECU,DF,São Paulo,33,1991,22.9,4,0,0,21,15,4,1,16,22,,,0,Matches,269dbfc6
40,Lucas Arcanjo,br BRA,GK,Vitória,26,1998,28.3,3,0,0,0,3,0,0,0,0,,,0,Matches,21803aa2
41,Matias Arezo,uy URU,FW,Grêmio,22,2002,3.0,1,0,0,5,2,2,4,0,1,,,0,Matches,484ebdb0
42,Jhon Arias,co COL,MFFW,Fluminense,27,1997,12.0,1,0,0,14,33,1,74,4,10,,,0,Matches,86d96066
43,Santiago Arias,co COL,DF,Bahia,33,1992,15.8,3,0,0,10,18,3,33,19,17,,,0,Matches,fdd60087
44,Giorgian de Arrascaeta,uy URU,MF,Flamengo,30,1994,26.1,3,0,0,13,54,2,144,6,17,,,0,Matches,be8d02dd
45,Keny Arroyo,ec ECU,MF,Cruzeiro,18,2006,7.2,4,0,0,6,18,0,15,5,4,,,0,Matches,a9c426f6
46,Arthur,br BRA,FW,Sport Recife,21,2003,2.2,0,0,0,3,7,0,0,1,0,,,0,Matches,e93fed32
47,Artur,br BRA,MF,Botafogo–RJ,26,1998,21.3,3,0,0,19,30,3,58,12,13,,,0,Matches,105132cd
48,Rodrigo Atencio,ar ARG,MF,Sport Recife,22,2002,6.0,1,0,0,4,7,0,36,4,3,,,0,Matches,5540acb4
49,Loide Augusto,ao ANG,MF,Vasco da Gama,24,2000,2.1,1,0,0,9,4,0,8,1,2,,,0,Matches,aea6ca59
50,Leo Augusto Pereira,br BRA,FWMF,Vitória,24,2000,1.8,0,0,0,5,9,1,8,1,3,,,0,Matches,a3818875
51,Leo Augusto Pereira,br BRA,MFFW,Sport Recife,24,2000,12.3,0,0,0,17,28,9,35,4,10,,,0,Matches,a3818875
52,Renato Augusto,br BRA,MF,Fluminense,36,1988,0.2,0,0,0,0,0,0,0,0,0,,,0,Matches,83a6367a
53,Gastón Ávila,ar ARG,DF,Fortaleza,23,2001,25.8,4,0,0,23,25,1,26,28,44,,,0,Matches,f648b2e1
54,Aylon,br BRA,MFFW,Ceará,32,1992,8.8,3,0,0,24,22,2,8,1,11,,,0,Matches,a87daabb
55,Matheus Babi,br BRA,FW,Juventude,27,1997,5.3,4,0,0,17,16,6,0,1,4,,,0,Matches,f48cff2c
56,Bahia,br BRA,MF,Corinthians,19,2006,0.5,0,0,0,0,1,0,0,2,2,,,0,Matches,a4b1b158
57,Gabriel Bahia,br BRA,DF,Botafogo–RJ,26,1998,2.6,0,0,0,2,1,0,0,2,2,,,0,Matches,af54b2db
58,Matheus Bahia,br BRA,DF,Ceará,25,1999,27.4,6,0,0,25,30,0,91,25,32,,,0,Matches,33e3c4e5
59,Fabián Balbuena,py PAR,DF,Grêmio,33,1991,2.5,0,0,0,0,3,0,1,4,1,,,0,Matches,3626f7d9
60,Gabriel Baralhas,br BRA,MF,Vitória,26,1998,25.3,10,0,0,42,29,0,11,39,34,,,0,Matches,b7838aad
61,Danilo Barbosa,br BRA,DFMF,Botafogo–RJ,28,1996,0.4,1,0,0,1,0,0,0,1,1,,,0,Matches,0557ff4f
62,Diogo Barbosa,br BRA,DF,Fortaleza,32,1992,13.8,2,0,0,7,14,0,22,10,18,,,0,Matches,7b9ef26b
63,Gabriel Barbosa,br BRA,FWMF,Cruzeiro,28,1996,12.0,7,0,0,9,14,13,14,0,3,,,0,Matches,72d0e1b6
64,Lucas Barbosa,br BRA,MF,RB Bragantino,23,2001,25.9,10,1,1,67,41,8,51,19,28,,,0,Matches,a28eac7e
65,Alexander Barboza,ar ARG,DF,Botafogo–RJ,29,1995,23.9,14,0,0,50,3,2,3,23,39,,,0,Matches,b1805c80
66,Adam Bareiro,py PAR,FW,Fortaleza,28,1996,9.8,7,1,0,32,23,2,2,0,10,,,0,Matches,afb7f0ea
67,Chrystian Barletta,br BRA,MF,Sport Recife,23,2001,16.7,2,0,0,14,35,5,54,11,7,,,0,Matches,d594cf58
68,Álvaro Barreal,ar ARG,MFFW,Santos,24,2000,24.9,2,0,0,28,21,6,125,22,25,,,0,Matches,ffca53e1
69,Jordan Barrera,co COL,MF,Botafogo–RJ,18,2006,3.4,1,0,0,3,8,0,9,0,2,,,0,Matches,abe7a9c6
70,Kadir Barría,pa PAN,FW,Botafogo–RJ,17,2007,1.9,1,0,0,4,4,1,0,0,4,,,0,Matches,b594dfe1
71,Cauan Barros,br BRA,MF,Vasco da Gama,20,2004,14.9,5,0,0,32,28,0,7,24,22,,,0,Matches,6ae4627b
72,Enmerson Batalla,co COL,MFFW,Juventude,23,2001,14.6,3,0,0,17,31,1,47,2,17,,,0,Matches,2ca7201b
73,Paulo Baya,br BRA,MFFW,Ceará,25,1999,4.8,0,0,0,2,5,1,38,1,2,,,0,Matches,879d5577
74,Paulo Baya,br BRA,MF,Fluminense,25,1999,0.4,0,0,0,0,0,0,0,0,0,,,0,Matches,879d5577
75,Erick Belé,br BRA,MF,Palmeiras,18,2007,0.3,0,0,0,0,1,0,0,0,2,,,0,Matches,7d96f93b
76,Luis Benedetti,br BRA,DF,Palmeiras,18,2006,4.2,0,0,0,3,2,0,1,7,2,,,0,Matches,3690d4f3
77,Alan Benítez,py PAR,DFMF,Internacional,31,1994,6.1,0,0,0,5,0,0,13,3,6,,,0,Matches,5c7c798b
78,Alexandro Bernabei,ar ARG,DFMF,Internacional,24,2000,28.7,10,1,1,62,34,3,123,34,46,,,0,Matches,67b09a18
79,Facundo Bernal,uy URU,MF,Fluminense,21,2003,11.5,8,0,0,17,13,0,1,10,19,,,1,Matches,ca34fa2e
80,Bernard,br BRA,MFFW,Atlético Mineiro,32,1992,13.4,4,0,0,25,13,2,53,7,15,,,0,Matches,ab4b3e35
81,Bernardo,br BRA,DF,Juventude,19,2005,0.5,0,0,0,1,0,0,0,1,2,,,0,Matches,dcd5858f
82,Matheus Bianqui,br BRA,MF,Mirassol,27,1998,1.6,1,0,0,7,1,0,2,0,5,,,0,Matches,9da67b35
83,Matheus Bidu,br BRA,DFMF,Corinthians,25,1999,21.8,7,0,0,22,66,7,73,23,28,,,0,Matches,b8a72293
84,Biel,br BRA,MFFW,Atlético Mineiro,23,2001,6.6,1,0,0,5,16,0,10,4,3,,,0,Matches,1cb046cd
85,Rafael Bilu,br BRA,MFFW,Juventude,25,1999,7.6,1,0,0,20,24,2,17,0,8,,,0,Matches,26880429
86,Damián Bobadilla,py PAR,MF,São Paulo,23,2001,23.3,6,0,0,36,12,1,13,20,31,,,0,Matches,ad7d6437
87,Yannick Bolasie,cd COD,FWMF,Cruzeiro,35,1989,2.0,1,0,0,11,4,2,8,0,2,,,0,Matches,715fc0fe
88,Gabriel Bontempo,br BRA,MF,Santos,20,2005,11.1,1,0,0,10,19,0,12,17,13,,,0,Matches,3f384407
89,Thiago Borbas,uy URU,FW,RB Bragantino,22,2002,6.4,4,0,0,17,7,0,1,1,4,,,0,Matches,04f9c45f
90,Daniel Borges,br BRA,DF,Mirassol,31,1993,10.0,3,0,0,17,10,0,44,10,7,,,0,Matches,71879f82
91,Marllon Borges,br BRA,DF,Ceará,32,1992,23.1,3,0,0,18,13,0,2,15,11,,,0,Matches,d0b29bbd
92,Pedro Borges,br BRA,MF,Fortaleza,27,1997,0.4,2,1,1,3,0,0,0,0,1,,,0,Matches,5bb699c4
93,Pedro Borges,br BRA,MF,Sport Recife,27,1997,5.6,5,0,0,11,11,0,0,7,9,,,0,Matches,5bb699c4
94,Rafael Borré,co COL,FW,Internacional,29,1995,20.1,3,1,0,38,21,14,12,7,30,,,0,Matches,c68da769
95,Lucas Braga,br BRA,MFDF,Vitória,28,1996,10.8,1,0,0,13,25,3,15,6,15,,,0,Matches,8a0a73ad
96,Bilal Brahimi,dz ALG,FWMF,Santos,24,2000,0.2,0,0,0,0,0,0,3,0,0,,,0,Matches,02bcaf8e
97,Martin Braithwaite,dk DEN,FW,Grêmio,33,1991,16.2,3,0,0,23,27,2,3,4,5,,,0,Matches,fd771f95
98,Gabriel Brazão,br BRA,GK,Santos,24,2000,37.7,2,0,0,1,13,0,0,2,1,,,0,Matches,18c697e8
99,Brenno,br BRA,GK,Fortaleza,25,1999,15.0,2,1,0,0,4,0,0,0,0,,,0,Matches,f002e8eb
100,Breno,br BRA,MFFW,Fortaleza,29,1996,25.3,5,0,0,13,53,20,107,6,9,,,0,Matches,e0016d00
101,Breno,br BRA,MF,Corinthians,19,2005,28.0,10,1,1,66,83,1,23,19,28,,,0,Matches,4c532308
102,Emanuel Brítez,ar ARG,DF,Fortaleza,32,1992,17.7,10,0,0,19,18,2,14,21,17,,,0,Matches,fb29d05d
103,Bruninho,br BRA,MF,Fortaleza,19,2005,0.8,0,0,0,0,2,0,0,2,2,,,0,Matches,b37ff7d6
104,Fabrício Bruno,br BRA,DF,Cruzeiro,28,1996,32.8,9,1,1,25,19,0,8,24,36,,,0,Matches,470d197b
105,Kaiki Bruno,br BRA,DF,Cruzeiro,21,2003,33.3,10,0,0,64,32,1,87,44,70,,,0,Matches,1a36e9cb
106,Gustavo Caballero,py PAR,MF,Santos,23,2001,3.7,1,0,0,8,11,2,16,7,7,,,1,Matches,90a38ca7
107,Arthur Cabral,br BRA,FW,Botafogo–RJ,26,1998,16.0,1,0,0,33,28,5,1,2,7,,,0,Matches,a820e429
108,Cacá,br BRA,DF,Corinthians,25,1999,15.6,4,0,0,20,17,0,1,9,21,,,0,Matches,27f4a416
109,Raúl Cáceres,py PAR,DFMF,Vitória,33,1991,18.7,6,0,0,22,5,3,58,11,20,,,0,Matches,6d9dc5be
110,Cadu,br BRA,FW,Atlético Mineiro,20,2004,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches,6fefa986
111,Calebe,br BRA,MF,Fortaleza,24,2000,2.5,2,0,0,2,5,1,8,2,2,,,0,Matches,c84af55e
112,Jonathan Calleri,ar ARG,FW,São Paulo,31,1993,1.3,0,1,0,2,2,0,0,0,1,,,0,Matches,6922f806
113,João Camargo,br BRA,FW,Flamengo,17,2007,0.2,0,0,0,2,0,0,0,0,0,,,0,Matches,e9e13ae9
114,Camilo,br BRA,MFDF,Grêmio,25,1999,8.2,2,0,0,20,1,0,2,14,12,,,0,Matches,dfb81359
115,Camutanga,br BRA,DF,Vitória,31,1993,13.8,7,0,0,19,9,1,0,16,10,,,0,Matches,c455a045
116,Luan Cândido,br BRA,DF,Sport Recife,23,2001,14.6,2,0,0,20,7,2,12,16,9,,,1,Matches,ca151606
117,Germán Cano,ar ARG,FW,Fluminense,36,1988,16.6,1,0,0,10,25,5,11,2,3,,,0,Matches,9ccf4e14
118,Agustín Canobbio,uy URU,MF,Fluminense,26,1998,23.4,6,0,0,44,53,6,72,13,31,,,0,Matches,4f5a2f38
119,Aitor Cantalapiedra,es ESP,MFFW,Vitória,28,1996,14.2,2,0,0,5,16,3,87,4,8,,,0,Matches,21a260a8
120,Juninho Capixaba,br BRA,DFMF,RB Bragantino,27,1997,21.9,4,0,0,33,41,3,53,21,34,,,0,Matches,91ba7336
121,Johan Carbonero,co COL,MFFW,Internacional,25,1999,16.2,6,1,0,32,60,14,22,2,8,,,0,Matches,9eca9710
122,Felipe Cardoso,br BRA,MF,Vitória,21,2003,0.9,0,0,0,1,1,0,3,0,1,,,0,Matches,5a9b1b3b
123,Edson Carioca,br BRA,FWMF,Mirassol,27,1997,13.0,1,0,0,29,14,2,15,7,17,,,0,Matches,14c679d6
124,Igor Cariús,br BRA,DFMF,Sport Recife,31,1993,19.2,3,0,0,28,29,7,35,27,30,,,1,Matches,662475de
125,Carlinhos,br BRA,FW,Vitória,27,1997,1.8,2,1,0,9,1,3,0,2,1,,,0,Matches,37fe7c99
126,Antonio Carlos,br BRA,DF,Sport Recife,31,1993,3.0,0,0,0,3,1,0,0,1,2,,,0,Matches,949fe1e8
127,Jean Carlos Vicente,br BRA,MF,Juventude,32,1992,2.3,1,0,0,3,2,3,16,0,3,,,0,Matches,db4b7637
128,Ruan Carneiro,br BRA,GK,Juventude,34,1990,4.0,0,0,0,0,0,0,0,0,0,,,0,Matches,8c3efb53
129,Jorge Carrascal,co COL,MF,Flamengo,26,1998,9.1,4,0,0,21,20,0,44,5,17,,,0,Matches,3f9f0d62
130,André Carrillo,pe PER,MF,Corinthians,33,1991,14.2,3,0,0,31,14,2,30,13,12,,,0,Matches,7527558b
131,Gabriel Carvalho,br BRA,MF,Internacional,17,2007,0.8,0,0,0,1,1,0,0,0,1,,,0,Matches,0f335ab2
132,Cássio,br BRA,GK,Cruzeiro,37,1987,34.3,6,0,0,0,9,0,0,0,0,,,0,Matches,d42f6326
133,Iury de Castilho,br BRA,FWMF,Mirassol,29,1995,5.5,2,0,0,7,18,6,4,2,6,,,0,Matches,555311f2
134,Caue,br BRA,DF,RB Bragantino,18,2006,0.5,0,0,0,0,0,0,1,1,1,,,0,Matches,b8f62eb5
135,Murilo Cerqueira,br BRA,DF,Palmeiras,27,1997,18.4,6,0,0,29,6,0,9,15,19,,,0,Matches,10fe831e
136,Julio Cesar,br BRA,DF,Fluminense,18,2006,2.0,0,0,0,2,7,0,9,4,2,,,0,Matches,94325798
137,Kayky Chagas,br BRA,MF,Bahia,21,2003,9.9,2,0,0,7,13,2,11,5,12,,,0,Matches,17734ea0
138,Gabriel Chapecó,br BRA,GK,Grêmio,24,2000,6.0,2,1,1,0,3,0,0,0,0,,,0,Matches,a24714b4
139,Chico,br BRA,DF,Sport Recife,26,1998,11.8,1,0,0,9,5,0,1,11,12,,,0,Matches,4edc0ef3
140,Chico,br BRA,MF,Mirassol,33,1991,3.9,1,0,0,8,15,0,7,5,8,,,0,Matches,bad7d8a9
141,Christian,br BRA,MF,Cruzeiro,24,2000,26.2,9,0,0,44,48,8,30,21,23,,,0,Matches,a856b456
142,Cipriano,br BRA,DF,Juventude,22,2002,2.1,1,1,0,3,0,0,0,3,1,,,0,Matches,f1a1c9e2
143,Claudinho,br BRA,DFMF,Vitória,24,2000,10.0,5,0,0,10,8,0,47,10,10,,,0,Matches,a921647d
144,Clayson,br BRA,MF,Mirassol,29,1995,2.8,2,0,0,3,8,2,22,0,1,,,0,Matches,85c1009d
145,Clayton,br BRA,DF,Internacional,24,2000,8.5,2,0,0,14,1,0,2,11,6,,,0,Matches,30afd787
146,Cleiton,br BRA,DF,Flamengo,21,2003,0.9,0,0,0,1,2,0,0,2,2,,,0,Matches,741c6251
147,Mateus Cocão,br BRA,MF,Vasco da Gama,22,2002,6.6,1,0,0,15,5,0,1,11,9,,,0,Matches,35f270b7
148,Igor Coronado,br BRA,MF,Corinthians,32,1992,3.8,1,0,0,7,5,0,28,4,1,,,0,Matches,8d9544ea
149,Joaquín Correa,ar ARG,MFFW,Botafogo–RJ,30,1994,10.0,2,0,0,13,21,2,18,2,6,,,0,Matches,45b9b619
150,Francisco da Costa,br BRA,FW,Mirassol,29,1995,13.2,3,0,0,15,18,10,2,2,0,,,0,Matches,bc16535e
151,Philippe Coutinho,br BRA,MF,Vasco da Gama,32,1992,26.7,3,1,0,22,40,3,134,7,10,,,0,Matches,0ef89a37
152,Lucas Crispim,br BRA,MF,Fortaleza,30,1994,4.7,0,0,0,8,15,1,17,2,0,,,0,Matches,6501ff61
153,Franco Cristaldo,ar ARG,MF,Grêmio,28,1996,14.0,1,0,0,10,31,1,70,4,14,,,0,Matches,25b26e2e
154,Gustavo Cuellar,co COL,MF,Grêmio,32,1992,9.8,3,0,0,17,14,0,3,15,23,,,0,Matches,cdd22fcf
155,Tomás Cuello,ar ARG,MFFW,Atlético Mineiro,24,2000,13.4,3,1,0,18,28,1,33,7,16,,,0,Matches,5c8615dd
156,Carlos Cuesta,co COL,DF,Vasco da Gama,25,1999,12.1,3,0,0,17,3,1,7,10,11,,,0,Matches,574fff8c
157,Cuiabano,br BRA,DFMF,Botafogo–RJ,21,2003,17.0,4,0,0,32,19,1,59,19,25,,,0,Matches,7e49bdbd
158,Jair Cunha,br BRA,DF,Botafogo–RJ,19,2005,11.0,0,0,0,4,8,0,2,9,12,,,0,Matches,ac31d35e
159,Lucas Cunha,br BRA,DF,Sport Recife,28,1997,4.8,1,0,0,5,2,0,0,6,2,,,0,Matches,0b8748ac
160,Danielzinho,br BRA,MF,Mirassol,30,1994,36.3,4,0,0,34,74,3,85,23,41,,,0,Matches,320de24c
161,Danilo,br BRA,DF,Flamengo,33,1991,15.7,2,1,0,15,6,0,14,13,8,,,0,Matches,94b2001f
162,David,br BRA,MFFW,Vasco da Gama,29,1995,8.3,3,1,0,13,5,2,6,5,6,,,0,Matches,92f9ace5
163,Matheus Davó,br BRA,FW,Mirassol,25,1999,0.4,0,0,0,0,1,0,1,0,0,,,0,Matches,e48e1310
164,Nicolás De La Cruz,uy URU,MF,Flamengo,27,1997,11.3,4,0,0,17,33,0,28,9,15,,,0,Matches,8fda5c72
165,Gabriel Delfim,br BRA,GK,Atlético Mineiro,22,2002,2.0,0,0,0,0,0,0,0,0,0,,,0,Matches,012beb6e
166,Deyverson,br BRA,FW,Fortaleza,33,1991,13.0,4,0,0,20,25,7,7,5,6,,,0,Matches,2e5e846d
167,Enzo Díaz,ar ARG,MFDF,São Paulo,29,1995,20.9,10,0,0,51,36,1,111,20,50,,,0,Matches,411d2dc0
168,Lautaro Díaz,ar ARG,FW,Santos,26,1998,11.3,2,0,0,17,9,5,7,3,2,,,0,Matches,28b89ba7
169,Lautaro Díaz,ar ARG,FW,Cruzeiro,26,1998,0.9,0,0,0,0,0,0,2,0,0,,,0,Matches,28b89ba7
170,Dieguinho Diego,br BRA,MF,Ceará,29,1995,29.5,5,0,0,26,66,0,10,34,30,,,0,Matches,7e5a7340
171,Dieguinho,br BRA,MFFW,Corinthians,17,2007,5.0,0,0,0,2,10,0,23,2,4,,,0,Matches,5c983aa2
172,Diogenes,br BRA,GK,Santos,24,2001,0.3,0,0,0,0,0,0,0,0,0,,,0,Matches,858e2e40
173,Dodi,br BRA,MF,Grêmio,28,1996,26.0,9,1,0,43,37,0,3,30,29,,,0,Matches,2830b8f7
174,Fabricio Domínguez,uy URU,MF,Sport Recife,26,1998,1.1,1,0,0,2,5,0,5,0,0,,,0,Matches,2798cc56
175,Matheus Donelli,br BRA,GK,Corinthians,22,2002,5.0,1,0,0,0,1,0,0,0,0,,,0,Matches,7c736064
176,Thiago dos Santos,br BRA,MFDF,Fluminense,35,1989,3.2,2,0,0,10,3,0,0,3,8,,,0,Matches,5408d2b2
177,Alexis Duarte,py PAR,DF,Santos,24,2000,4.5,1,0,0,7,4,0,3,3,4,,,0,Matches,a9f8c8c2
178,David Duarte,br BRA,DF,Bahia,30,1995,24.5,4,0,0,20,8,2,0,16,13,,,0,Matches,91bf16f7
179,Dudu,br BRA,MFFW,Cruzeiro,33,1992,2.4,0,0,0,4,7,0,2,1,1,,,0,Matches,895ef5ec
180,Dudu,br BRA,MF,Vitória,25,1999,3.5,7,2,2,12,6,0,0,3,9,,,0,Matches,c9ebe876
181,Dudu,br BRA,MF,Atlético Mineiro,33,1992,11.6,1,0,0,5,20,7,27,3,4,,,0,Matches,895ef5ec
182,Edenílson,br BRA,MF,Grêmio,35,1989,20.0,6,0,0,18,33,2,36,16,13,,,0,Matches,4e50f20e
183,Eder,br BRA,DF,Ceará,29,1995,3.0,0,0,0,3,1,0,0,0,0,,,0,Matches,ba1a2c4c
184,Edu,br BRA,DF,Vitória,24,2000,11.9,2,0,0,11,7,0,1,14,19,,,0,Matches,01dc4e41
185,Carlos Eduardo,br BRA,MF,Cruzeiro,35,1989,10.1,1,1,0,21,15,1,7,6,8,,,0,Matches,1a234d32
186,Carlos Eduardo,br BRA,FWMF,Mirassol,28,1996,8.2,2,0,0,18,24,5,27,5,8,,,0,Matches,27c23008
187,Carlos Eduardo,br BRA,FWMF,Vitória,28,1996,0.5,0,0,0,0,1,0,3,1,0,,,0,Matches,27c23008
188,Rodrigo Ely,br BRA,DF,Grêmio,31,1993,0.4,0,0,0,1,0,0,0,1,1,,,0,Matches,fd47b4f2
189,Emerson,br BRA,DF,Flamengo,26,1999,13.9,1,0,0,18,25,0,47,21,21,,,0,Matches,df8b52a5
190,Ênio,br BRA,MFFW,Juventude,23,2001,12.3,3,0,0,8,34,6,30,1,4,,,0,Matches,661b892f
191,Erick,br BRA,MFDF,Bahia,27,1997,7.6,3,0,0,16,5,3,6,8,8,,,0,Matches,8a826636
192,Erick,br BRA,MFFW,Vitória,27,1997,22.8,8,0,0,26,75,2,73,15,17,,,0,Matches,8edcad0d
193,Gonzalo Escobar,ar ARG,DF,Santos,27,1997,22.3,8,1,1,36,20,1,64,36,56,,,0,Matches,12207ec1
194,Lucas Esteves,br BRA,DFMF,Grêmio,24,2000,7.5,1,0,0,9,3,0,25,10,9,,,0,Matches,c6ec0258
195,Guilherme Estrella,br BRA,MF,Vasco da Gama,19,2005,0.2,0,0,0,0,1,0,0,0,0,,,0,Matches,df090e8c
196,Lucas Evangelista,br BRA,MF,Palmeiras,29,1995,11.6,2,0,0,19,20,0,10,6,19,,,0,Matches,5f4ce4b6
197,Éverson,br BRA,GK,Atlético Mineiro,34,1990,36.0,8,0,0,0,6,0,0,2,0,,,0,Matches,a59c090b
198,Evertton,br BRA,MF,Flamengo,21,2003,10.9,2,1,0,17,12,0,2,5,12,,,0,Matches,4961c6f4
199,Ewerthon,br BRA,DF,Juventude,24,2000,12.8,2,0,0,8,12,3,37,20,17,,,0,Matches,c41aca39
200,Fabinho,br BRA,MF,RB Bragantino,22,2002,14.2,3,0,0,31,15,0,7,17,19,,,0,Matches,ff0e595c
201,Fábio,br BRA,GK,Fluminense,44,1980,38.0,2,0,0,0,3,0,0,1,0,,,0,Matches,15825726
202,Fabrício,br BRA,MFFW,Mirassol,27,1997,3.3,0,0,0,4,5,0,3,0,0,,,0,Matches,0211a29e
203,Fabrício,br BRA,MF,Vitória,24,2000,4.4,0,0,0,19,9,0,27,4,8,,,0,Matches,e2290a67
204,Fagner,br BRA,DF,Cruzeiro,35,1989,9.2,1,0,0,12,8,1,51,11,11,,,0,Matches,a9cc58fe
205,Marcos Felipe,br BRA,GK,Bahia,28,1996,10.8,0,0,0,1,3,0,0,1,0,,,0,Matches,453bdfb9
206,Lucas Fernandes,br BRA,MF,Juventude,27,1997,4.4,0,0,0,5,5,1,8,4,3,,,0,Matches,a109d777
207,Matheus Fernandes,br BRA,MF,RB Bragantino,26,1998,7.3,3,0,0,19,4,0,3,12,14,,,0,Matches,f76fdcd2
208,Nathan Fernandes,br BRA,MFFW,Botafogo–RJ,19,2005,3.7,1,0,0,4,5,2,5,3,1,,,0,Matches,239bbd8b
209,Pol Fernández,ar ARG,MF,Fortaleza,33,1991,3.2,1,0,0,6,2,0,6,0,3,,,0,Matches,24377e64
210,Fernandinho,br BRA,MF,Ceará,27,1997,11.1,3,0,0,18,20,7,25,15,14,,,0,Matches,877b54d5
211,Fernando,br BRA,MFDF,Internacional,37,1987,4.6,0,0,0,1,3,0,1,6,5,,,0,Matches,41f32541
212,Fernando,br BRA,FW,RB Bragantino,25,1999,3.5,0,0,0,5,4,0,2,0,1,,,0,Matches,d9d43555
213,Nahuel Ferraresi,ve VEN,DF,São Paulo,26,1998,20.0,3,0,0,34,29,1,26,29,54,,,1,Matches,719aab45
214,Ferreira,br BRA,MFFW,São Paulo,27,1997,17.6,4,0,0,16,48,2,46,7,16,,,0,Matches,1414e902
215,Bruno Ferreira,br BRA,GK,Ceará,30,1994,30.7,2,0,0,1,8,0,0,0,1,,,0,Matches,5093517f
216,Lucas Ferreira,br BRA,MF,São Paulo,18,2006,8.5,1,0,0,11,19,0,28,6,12,,,0,Matches,7025807f
217,Luiz Filipe,br BRA,FW,Mirassol,23,2001,0.2,0,0,0,2,0,0,0,0,0,,,0,Matches,4a615e0b
218,André Filipinho,br BRA,DF,Juventude,28,1997,3.4,1,0,0,11,1,2,9,7,1,,,0,Matches,398048a4
219,Riquelme Fillipi,br BRA,FW,Palmeiras,18,2006,0.3,0,0,0,0,0,0,0,0,0,,,0,Matches,6f913257
220,Caíque França,br BRA,GK,Sport Recife,29,1995,15.0,2,0,0,0,1,0,0,0,1,,,0,Matches,fbb19f57
221,Matheus França,br BRA,MFFW,Vasco da Gama,20,2004,4.3,1,0,0,8,3,0,12,5,5,,,0,Matches,077faf72
222,Ryan Francisco,br BRA,FW,São Paulo,18,2006,2.3,0,0,0,4,6,1,2,0,0,,,0,Matches,8059567a
223,Alan Franco,ec ECU,MF,Atlético Mineiro,26,1998,29.2,4,0,0,43,19,0,3,29,33,,,0,Matches,c76b161b
224,Alan Franco,ar ARG,DF,São Paulo,28,1996,25.4,7,0,0,33,12,2,1,25,24,,,0,Matches,a548281c
225,Luan Freitas,br BRA,DF,Juventude,24,2001,12.5,0,0,0,13,3,0,0,9,21,,,0,Matches,b2dfa423
226,Lucas Freitas,br BRA,DF,Vasco da Gama,24,2001,17.2,4,0,0,18,12,0,6,21,9,,,0,Matches,a92be6c1
227,Marlon Freitas,br BRA,MF,Botafogo–RJ,29,1995,32.5,8,0,0,41,9,0,15,23,28,,,0,Matches,ae3181de
228,Riquelme Freitas,br BRA,MFFW,Grêmio,18,2006,4.3,0,0,0,3,11,0,8,2,4,,,0,Matches,36e163aa
229,Juan Freytes,ar ARG,DF,Fluminense,25,2000,32.5,8,1,0,22,18,3,8,19,17,,,0,Matches,b9863758
230,Adonis Frías,ar ARG,DF,Santos,26,1998,12.4,2,0,0,18,6,0,2,17,10,,,0,Matches,1b2f1090
231,Bruno Fuchs,br BRA,DF,Palmeiras,25,1999,19.1,5,0,0,26,17,0,17,28,28,,,0,Matches,ee89e28d
232,Gabriel Fuentes,co COL,DF,Fluminense,27,1997,9.2,2,0,0,14,5,0,36,9,13,,,0,Matches,bb23a0e7
